rule_filterlist_France,blocked_etld
||glashanburg.com^,1
&adsExpected=,1
/gdfp.js? <+> -gdfp-server.,1
||strpjmp.com^$third-party,1
/richmedia.adv?,1
||huppontic.com^,1
-banner/?*&subAffId=,1
/popup1.js,1
||arc.io/widget$third-party,1
||cloudfront.net^$domain=anyanime.com|ay.gy|brain-magazine.fr|citethisforme.com|ddl1.best|despair-paradise.com|easybib.com|esgentside.com|filmuptobox.net|gamecopyworld.click|gamecopyworld.eu|gentside.com|gentside.com.br|gentside.de|getpublica.com|gogoanime.io|gorillavid.com|inkapelis.com|istream2watch.com|maquillage.com|maxisciences.com|namemc.com|ohmirevista.com|ohmymag.com|ohmymag.com.br|ohmymag.de|pausefun.com|pausepeople.com|pelisplus.to|remedes-de-grand-mere.com|replaymod.com|solidfiles.com|stream2watch.org|tokenfly.pw|uploadcrazy.net|vercanalestv1.com|vosbooks.tv|watcheng.tv|zippyshare.com|zlshorte.net,1
||tpctrust.com^$third-party,1
||meilleurduweb.com/images/pub/,1
?style=300x250-,1
||pub.groupe-ldlc.com^,1
/affiliates/*_banner. <+> /728/*-affiliates-,1
-pub/prod/$third-party,1
||grtyi.com^,1
||compolegimmer.com^,1
/ads/footer1.,1
/rek.*&zoneid=,1
"||yospace.com^$~object,third-party",1
||ruggownpolacca.com^,1
||onclckinp.com^,1
||sherpa.agoda.com^$third-party,1
